Date,Seed - tonnes,Area Harvested - Ha,Yield - Hg/Ha,Production Quantity - tonnes
1961-12-31,85.0,1945.0,3809.0,741.0
1962-12-31,80.0,2750.0,8672.0,2385.0
1963-12-31,141.0,2586.0,8708.0,2252.0
1964-12-31,36.0,4557.0,3078.0,1403.0
1965-12-31,37.0,1180.0,7440.0,878.0
1966-12-31,34.0,1200.0,7266.0,872.0
1967-12-31,31.0,1100.0,7272.0,800.0
1968-12-31,31.0,1000.0,7680.0,768.0
1969-12-31,31.0,1000.0,7400.0,740.0
1970-12-31,31.0,1000.0,7400.0,740.0
1971-12-31,31.0,1000.0,7400.0,740.0
1972-12-31,31.0,1000.0,7400.0,740.0
1973-12-31,49.0,1000.0,7000.0,700.0
1974-12-31,55.0,1600.0,6875.0,1100.0
1975-12-31,62.0,1800.0,7222.0,1300.0
1976-12-31,93.0,2000.0,7500.0,1500.0
1977-12-31,93.0,3000.0,5000.0,1500.0
1978-12-31,83.0,3000.0,5000.0,1500.0
1979-12-31,40.0,2700.0,3703.0,1000.0
1980-12-31,8.0,1300.0,3846.0,500.0
1981-12-31,0.0,270.0,3703.0,100.0
1982-12-31,1.0,27.0,4074.0,11.0
1983-12-31,1.0,40.0,3500.0,14.0
1984-12-31,2.0,54.0,4074.0,22.0
1985-12-31,5.0,69.0,4492.0,31.0
1986-12-31,11.0,177.0,5875.0,104.0
1987-12-31,46.0,361.0,8559.0,309.0
1988-12-31,32.0,1230.0,4520.0,556.0
1989-12-31,31.0,870.0,5413.0,471.0
1990-12-31,33.0,889.0,7592.0,675.0
1991-12-31,70.0,1070.0,4205.0,450.0
1992-12-31,37.0,2030.0,4931.0,1001.0
1993-12-31,31.0,1000.0,4930.0,493.0
1994-12-31,37.0,700.0,5171.0,362.0
1995-12-31,46.0,800.0,5100.0,408.0
1996-12-31,31.0,1100.0,5045.0,555.0
1997-12-31,62.0,600.0,5066.0,304.0
1998-12-31,62.0,1800.0,5211.0,938.0
1999-12-31,46.0,1800.0,5211.0,938.0
2000-12-31,24.0,1300.0,5000.0,650.0
2001-12-31,23.0,650.0,4923.0,320.0
2002-12-31,8.0,600.0,4900.0,294.0
2003-12-31,9.0,1000.0,5190.0,519.0
2004-12-31,33.0,918.0,6982.0,641.0
2005-12-31,33.0,929.0,7018.0,652.0
2006-12-31,33.0,950.0,6947.0,660.0
2007-12-31,33.0,980.0,7040.0,690.0
