Date,Seed - tonnes,Area Harvested - Ha,Yield - Hg/Ha,Production Quantity - tonnes
1961-12-31,600.0,28610.0,7862.0,22494.0
1962-12-31,592.0,30040.0,8110.0,24364.0
1963-12-31,387.0,29640.0,8454.0,25060.0
1964-12-31,389.0,19390.0,9094.0,17635.0
1965-12-31,356.0,19485.0,9511.0,18533.0
1966-12-31,366.0,17835.0,7055.0,12583.0
1967-12-31,201.0,18305.0,7837.0,14347.0
1968-12-31,339.0,10060.0,5213.0,5245.0
1969-12-31,327.0,16955.0,4460.0,7563.0
1970-12-31,300.0,16370.0,4463.0,7307.0
1971-12-31,260.0,15035.0,4260.0,6405.0
1972-12-31,265.0,13020.0,4763.0,6202.0
1973-12-31,259.0,13250.0,5381.0,7130.0
1974-12-31,264.0,12980.0,5063.0,6572.0
1975-12-31,301.0,13228.0,6155.0,8142.0
1976-12-31,394.0,15065.0,5759.0,8676.0
1977-12-31,388.0,19747.0,5407.0,10679.0
1978-12-31,344.0,19439.0,5263.0,10231.0
1979-12-31,372.0,17231.0,5389.0,9286.0
1980-12-31,316.0,18634.0,8760.0,16324.0
1981-12-31,302.0,18384.0,7132.0,13112.0
1982-12-31,294.0,21652.0,7864.0,17028.0
1983-12-31,291.0,14363.0,6014.0,8638.0
1984-12-31,343.0,18349.0,7740.0,14203.0
1985-12-31,366.0,11860.0,6757.0,8014.0
1986-12-31,358.0,13524.0,7397.0,10004.0
1987-12-31,334.0,13112.0,7566.0,9921.0
1988-12-31,375.0,18475.0,8814.0,16284.0
1989-12-31,385.0,15241.0,10335.0,15753.0
1990-12-31,367.0,8081.0,7746.0,6260.0
1991-12-31,356.0,21007.0,8695.0,18266.0
1992-12-31,411.0,7874.0,6300.0,4961.0
1993-12-31,388.0,17812.0,9632.0,17157.0
1994-12-31,335.0,20693.0,8036.0,16629.0
1995-12-31,485.0,18729.0,7353.0,13773.0
1996-12-31,547.0,18704.0,8591.0,16070.0
1997-12-31,419.0,27033.0,8762.0,23688.0
1998-12-31,468.0,30720.0,9170.0,28171.0
1999-12-31,440.0,28979.0,9804.0,28413.0
2000-12-31,435.0,28889.0,9758.0,28191.0
2001-12-31,425.0,25601.0,8697.0,22267.0
2002-12-31,422.0,27851.0,10905.0,30373.0
2003-12-31,434.0,28326.0,10620.0,30085.0
2004-12-31,431.0,27676.0,9754.0,26997.0
2005-12-31,431.0,28632.0,11382.0,32590.0
2006-12-31,449.0,29947.0,10160.0,30429.0
2007-12-31,607.0,30381.0,10474.0,31824.0
