Date,seed_per,harvest_per,yield_per,prod_per,seed_bol,harvest_bol,yield_bol,prod_bol,seed_ecu,harvest_ecu,yield_ecu,prod_ecu,gold_price,gdp_bol,cpi_bol,import_diesel,market_price,fut_cpi_bol,fut_gdp_bol,good_business
1961-12-31,600.0,28610.0,7862.0,22494.0,334.0,22000.0,4181.0,9200.0,85.0,1945.0,3809.0,741.0,39.8393979058,2.07998362809,7.56149307184,0.0,435.12,5.87933142225,5.57022534605,1
1962-12-31,592.0,30040.0,8110.0,24364.0,339.0,22300.0,4573.0,10200.0,80.0,2750.0,8672.0,2385.0,39.8393979058,5.57022534605,5.87933142225,0.0,435.12,-0.706357214552,6.42070158067,1
1963-12-31,387.0,29640.0,8454.0,25060.0,282.0,22600.0,5973.0,13500.0,141.0,2586.0,8708.0,2252.0,39.8393979058,6.42070158067,-0.706357214552,0.0,435.12,10.1818181818,4.79455957458,0
1964-12-31,389.0,19390.0,9094.0,17635.0,255.0,18800.0,5957.0,11200.0,36.0,4557.0,3078.0,1403.0,39.8393979058,4.79455957458,10.1818181818,0.0,435.12,2.8602860286,5.62501774612,1
1965-12-31,356.0,19485.0,9511.0,18533.0,240.0,17000.0,4000.0,6800.0,37.0,1180.0,7440.0,878.0,39.8393979058,5.62501774612,2.8602860286,0.0,435.12,6.95187165775,6.49729573266,0
1966-12-31,366.0,17835.0,7055.0,12583.0,184.0,16000.0,5000.0,8000.0,34.0,1200.0,7266.0,872.0,39.8393979058,6.49729573266,6.95187165775,0.0,435.12,11.199999999,6.90886793551,0
1967-12-31,201.0,18305.0,7837.0,14347.0,211.0,12330.0,6001.0,7400.0,31.0,1100.0,7272.0,800.0,39.8393979058,6.90886793551,11.199999999,0.0,435.12,5.47062350162,-12.1690279476,0
1968-12-31,339.0,10060.0,5213.0,5245.0,212.0,14120.0,6798.0,9600.0,31.0,1000.0,7680.0,768.0,39.8393979058,-12.1690279476,5.47062350162,0.0,435.12,2.20974847251,3.09601364025,1
1969-12-31,327.0,16955.0,4460.0,7563.0,183.0,14150.0,6784.0,9600.0,31.0,1000.0,7400.0,740.0,41.0997834646,3.09601364025,2.20974847251,0.0,435.12,3.955509211,-0.49482136658,0
1970-12-31,300.0,16370.0,4463.0,7307.0,225.0,12200.0,7950.0,9700.0,31.0,1000.0,7400.0,740.0,35.9634509804,-0.49482136658,3.955509211,0.0,435.12,3.67461430575,5.06333631431,1
1971-12-31,260.0,15035.0,4260.0,6405.0,225.0,15000.0,7000.0,10500.0,31.0,1000.0,7400.0,740.0,40.8064822134,5.06333631431,3.67461430575,0.0,435.12,6.51154401154,7.96748548216,0
1972-12-31,265.0,13020.0,4763.0,6202.0,240.0,15000.0,7200.0,10800.0,31.0,1000.0,7400.0,740.0,58.1738779528,7.96748548216,6.51154401154,0.0,435.12,31.4860287892,5.73916134325,0
1973-12-31,259.0,13250.0,5381.0,7130.0,253.0,16000.0,7500.0,12000.0,49.0,1000.0,7000.0,700.0,97.117312253,5.73916134325,31.4860287892,0.0,435.12,62.8360756029,2.93956812778,0
1974-12-31,264.0,12980.0,5063.0,6572.0,288.0,16890.0,7818.0,13205.0,55.0,1600.0,6875.0,1100.0,158.765551181,2.93956812778,62.8360756029,0.0,435.12,7.97674602547,7.31101764845,1
