Date,Value
2016-06-30,133184020.0
2016-05-31,111847034.0
2016-04-30,115914680.0
2016-03-31,140281483.0
2016-02-29,102057120.0
2016-01-31,99223253.0
2015-12-31,150923030.0
2015-11-30,128073922.0
2015-10-31,127064540.0
2015-09-30,126083277.0
2015-08-31,107245085.0
2015-07-31,114232989.0
2015-06-30,129648373.0
2015-05-31,120171170.0
2015-04-30,125881521.0
2015-03-31,151198706.0
2015-02-28,92455898.0
2015-01-31,109029488.0
2014-12-31,158650702.0
2014-11-30,141017921.0
2014-10-31,148482906.0
2014-09-30,143743854.0
2014-08-31,120849257.0
2014-07-31,145230637.0
2014-06-30,131768411.0
2014-05-31,132210505.0
2014-04-30,132697697.0
2014-03-31,113776780.0
2014-02-28,119175792.0
2014-01-31,124754688.0
2013-12-31,131855848.0
2013-11-30,127142612.0
2013-10-31,149961184.0
2013-09-30,136252130.0
2013-08-31,135124637.0
2013-07-31,136472323.0
2013-06-30,104649637.0
2013-05-31,123948211.0
2013-04-30,132226986.0
2013-03-31,119624998.0
2013-02-28,110185982.0
2013-01-31,126885255.0
2012-12-31,129675748.0
2012-11-30,141762832.0
2012-10-31,137156464.0
2012-09-30,110788555.0
2012-08-31,121810534.0
2012-07-31,108244782.0
2012-06-30,102828513.0
2012-05-31,130200175.0
2012-04-30,114145134.0
2012-03-31,123916621.0
2012-02-29,127231046.0
2012-01-31,125201291.0
2011-12-31,146050720.0
2011-11-30,141254062.0
2011-10-31,123885789.0
2011-09-30,140401705.0
2011-08-31,146341377.0
2011-07-31,127693327.0
2011-06-30,129566787.0
2011-05-31,130601542.0
2011-04-30,116424555.0
2011-03-31,119124849.0
2011-02-28,105290721.0
2011-01-31,84863832.0
2010-12-31,112064094.0
2010-11-30,112981722.0
2010-10-31,99996007.0
2010-09-30,86289598.0
2010-08-31,89908527.0
2010-07-31,94158493.0
2010-06-30,95400994.0
2010-05-31,106982831.0
2010-04-30,92810306.0
2010-03-31,102984373.0
2010-02-28,83321682.0
2010-01-31,85921866.0
2009-12-31,99314225.0
2009-11-30,92902873.0
2009-10-31,88756789.0
2009-09-30,81413600.0
2009-08-31,76030342.0
2009-07-31,76633484.0
2009-06-30,71171445.0
2009-05-31,65579507.0
2009-04-30,65924231.0
2009-03-31,67468439.0
2009-02-28,63467748.0
2009-01-31,70569255.0
2008-12-31,98654893.0
2008-11-30,88420696.0
2008-10-31,114151236.0
2008-09-30,77820080.0
2008-08-31,112665172.0
2008-07-31,126570630.0
2008-06-30,116392986.0
2008-05-31,105470554.0
2008-04-30,66576175.0
2008-03-31,77722390.0
2008-02-29,73142393.0
2008-01-31,77980317.0
2007-12-31,73256394.0
2007-11-30,74556369.0
2007-10-31,83860883.0
2007-09-30,60761778.0
2007-08-31,73439482.0
2007-07-31,70015693.0
2007-06-30,70245710.0
2007-05-31,85392004.0
2007-04-30,60631156.0
2007-03-31,73797727.0
2007-02-28,52889826.0
2007-01-31,71865633.0
2006-12-31,68867016.0
2006-11-30,63137039.0
2006-10-31,57664073.0
2006-09-30,56583751.0
2006-08-31,59206888.0
2006-07-31,60779607.0
2006-06-30,55822560.0
2006-05-31,56426697.0
2006-04-30,54312419.0
2006-03-31,64289739.0
2006-02-28,50236073.0
2006-01-31,54276076.0
2005-12-31,61229441.0
2005-11-30,56591530.0
2005-10-31,49199113.0
2005-09-30,49682312.0
2005-08-31,47582535.0
2005-07-31,48191066.0
2005-06-30,46440550.0
2005-05-31,46609485.0
2005-04-30,47329891.0
2005-03-31,51648068.0
2005-02-28,37693452.0
2005-01-31,43055474.0
2004-12-31,62684748.0
2004-11-30,55194418.0
2004-10-31,53593181.0
2004-09-30,41386058.0
2004-08-31,41040895.0
2004-07-31,41618746.0
2004-06-30,47947312.0
2004-05-31,50293234.0
2004-04-30,36165476.0
2004-03-31,49920600.0
2004-02-29,29864157.0
2004-01-31,30730959.0
2003-12-31,37132247.0
2003-11-30,30351730.0
2003-10-31,38615911.0
2003-09-30,36968744.0
2003-08-31,23703296.0
2003-07-31,27722182.0
2003-06-30,27303103.0
2003-05-31,33470606.0
2003-04-30,32398440.0
2003-03-31,28849529.0
2003-02-28,23884137.0
2003-01-31,22025781.0
2002-12-31,27481980.0
2002-11-30,27431043.0
2002-10-31,35546782.0
2002-09-30,33158569.0
2002-08-31,44224584.0
2002-07-31,39050491.0
2002-06-30,38812428.0
2002-05-31,29138647.0
2002-04-30,44189871.0
2002-03-31,41971075.0
2002-02-28,32345086.0
2002-01-31,28855001.0
2001-12-31,25458390.0
2001-11-30,33101872.0
2001-10-31,31857412.0
2001-09-30,25251982.0
2001-08-31,26528470.0
2001-07-31,27139494.0
2001-06-30,27866367.0
2001-05-31,31778034.0
2001-04-30,28636077.0
2001-03-31,31328212.0
2001-02-28,20844268.0
2001-01-31,24660630.0
2000-12-31,28970189.0
2000-11-30,31860715.0
2000-10-31,32076200.0
2000-09-30,33851400.0
2000-08-31,31443418.0
2000-07-31,29076397.0
2000-06-30,29622140.0
2000-05-31,34975986.0
2000-04-30,30865396.0
2000-03-31,30236187.0
2000-02-29,27022231.0
2000-01-31,24653833.0
1999-12-31,39798633.0
1999-11-30,37516312.0
1999-10-31,38177035.0
1999-09-30,33962945.0
1999-08-31,35690732.0
1999-07-31,36704537.0
1999-06-30,35319582.0
1999-05-31,37376010.0
1999-04-30,30009149.0
1999-03-31,45526754.0
1999-02-28,38567266.0
1999-01-31,34341888.0
1998-12-31,57205811.0
1998-11-30,55995524.0
1998-10-31,54014976.0
1998-09-30,51398136.0
1998-08-31,43223837.0
1998-07-31,56646476.0
1998-06-30,52345376.0
1998-05-31,47383993.0
1998-04-30,77793255.0
1998-03-31,62416895.0
1998-02-28,53296839.0
1998-01-31,64098075.0
1997-12-31,83772492.0
1997-11-30,90492964.0
1997-10-31,74432094.0
1997-09-30,71202331.0
1997-08-31,43687578.0
1997-07-31,49716814.0
1997-06-30,48120703.0
1997-05-31,48420438.0
1997-04-30,54592160.0
1997-03-31,45737181.0
1997-02-28,35844277.0
1997-01-31,73945821.0
1996-12-31,50107536.0
1996-11-30,54955102.0
1996-10-31,45697010.0
1996-09-30,51525834.0
1996-08-31,47365405.0
1996-07-31,47697195.0
1996-06-30,35659748.0
1996-05-31,42877449.0
1996-04-30,39331276.0
1996-03-31,39463158.0
1996-02-29,39280685.0
1996-01-31,37718474.0
1995-12-31,43306357.0
1995-11-30,42965975.0
1995-10-31,47431153.0
1995-09-30,38203902.0
1995-08-31,52466787.0
1995-07-31,40963911.0
1995-06-30,42839902.0
1995-05-31,47585924.0
1995-04-30,42745908.0
1995-03-31,56604211.0
1995-02-28,35690441.0
1995-01-31,39278121.0
1994-12-31,52708125.0
1994-11-30,44214337.0
1994-10-31,40064482.0
1994-09-30,49029172.0
1994-08-31,45659083.0
1994-07-31,35579669.0
1994-06-30,32990215.0
1994-05-31,37209555.0
1994-04-30,34950784.0
1994-03-31,38433073.0
1994-02-28,28018849.0
1994-01-31,31139640.0
1993-12-31,44506709.0
1993-11-30,34294727.0
1993-10-31,36818572.0
1993-09-30,36600531.0
1993-08-31,36029903.0
1993-07-31,41360172.0
1993-06-30,53107822.0
1993-05-31,14344258.0
1993-04-30,39541542.0
1993-03-31,45592685.0
1993-02-28,27461038.0
1993-01-31,20937071.0
1992-12-31,33906663.0
1992-11-30,27145185.0
1992-10-31,37322638.0
1992-09-30,18310967.0
1992-08-31,28666065.0
1992-07-31,31642737.0
1992-06-30,33506552.0
1992-05-31,29044874.0
1992-04-30,26738219.0
1992-03-31,23996712.0
1992-02-29,18494951.0
1992-01-31,23859706.0
1991-12-31,26568331.0
1991-11-30,23791080.0
1991-10-31,23308336.0
1991-09-30,20197052.0
1991-08-31,32771812.0
1991-07-31,14980474.0
1991-06-30,24295964.0
1991-05-31,17893756.0
1991-04-30,16423903.0
1991-03-31,17285040.0
1991-02-28,16441199.0
1991-01-31,21998193.0
1990-12-31,23409578.0
1990-11-30,15505764.0
1990-10-31,10551933.0
1990-09-30,13610612.0
1990-08-31,16546850.0
1990-07-31,17381439.0
1990-06-30,14961107.0
1990-05-31,17641601.0
1990-04-30,11183753.0
1990-03-31,14530350.0
1990-02-28,12308220.0
1990-01-31,14328451.0
1989-12-31,20948904.0
1989-11-30,18647882.0
1989-10-31,15783503.0
1989-09-30,18209190.0
1989-08-31,22843377.0
1989-07-31,21568687.0
1989-06-30,28350870.0
1989-05-31,21005867.0
1989-04-30,17558625.0
1989-03-31,17877070.0
1989-02-28,11144354.0
1989-01-31,14971540.0
